cycle,cycle_elapsed_seconds,gradient_norm_max,gradient_norm_mean,learning_rate,optimizer_steps_completed,train_contralateral_high_frequency_mae_db,train_erb_mae_db,train_full_sphere_lsd_db,train_high_frequency_first_difference_mae_db_per_bin,train_high_frequency_second_difference_mae_db_per_bin2,train_ild_mae_db,train_ild_spectral_proxy_mae_db,train_lsd_loss_db,train_notch_depth_mae_db,train_residual_mae_db,train_residual_smooth_l1,train_spectral_band_ild_mae_db,train_spectral_band_ild_smooth_l1_db,train_total,validation_contralateral_high_frequency_mae_db,validation_erb_mae_db,validation_full_sphere_lsd_db,validation_high_frequency_first_difference_mae_db_per_bin,validation_high_frequency_second_difference_mae_db_per_bin2,validation_ild_mae_db,validation_ild_spectral_proxy_mae_db,validation_lsd_loss_db,validation_notch_depth_mae_db,validation_residual_mae_db,validation_residual_smooth_l1,validation_spectral_band_ild_mae_db,validation_spectral_band_ild_smooth_l1_db,validation_total,validation_weighted_residual_mae_db
1,18.1752206,6.379814147949219,1.763546193104524,5e-05,130,3.668360238808852,1.0108831928326534,0.0,0.7442066183457008,0.6976639117185887,0.10303480226833087,0.6374728523767912,0.0,0.6585686472746042,2.588312581869272,0.24685208591131064,1.4420890716406016,1.225778089578335,0.7186584380956796,,,,,,,,,,,,,,,
2,12.046337899999997,4.6554107666015625,1.3039615566913898,0.0001,260,3.615622568130493,0.9856873099620526,0.0,0.7357359581268751,0.6932477272473849,0.10414686985313892,0.6155752970622136,0.0,0.642588699551729,2.554351319716527,0.24233453503021826,1.4518813509207504,1.2351123355902158,0.7062802129066907,,,,,,,,,,,,,,,
3,10.851752099999999,2.115832567214966,1.1874250955306567,9.999370638369377e-05,390,3.5807456438358014,0.9763367707912739,0.0,0.7247023765857403,0.6795409661072951,0.10273022525585615,0.6093225051577275,0.0,0.6340373612367189,2.5335763536966764,0.2391730058651704,1.4356661338072556,1.2191301478789403,0.6980004422939741,,,,,,,,,,,,,,,
4,10.337565300000001,2.0266222953796387,1.1141611924538246,9.997482711915927e-05,520,3.59746748484098,0.9988994580048781,0.0,0.7325504284638625,0.6863026696902055,0.10922968625449217,0.6161657814796154,0.0,0.6446005397118055,2.571412280889658,0.2448650137736247,1.4440272386257464,1.2276648172965416,0.7103632716032174,,,,,,,,,,,,,,,
5,8.305885400000001,2.2206013202667236,1.0906618375044603,9.99433669591504e-05,650,3.5805016114161563,0.991162056189317,0.0,0.7239732822546592,0.6767865164921834,0.1120791147248103,0.6171428098128392,0.0,0.6471573637082026,2.5354557000673736,0.23890415842716511,1.4355018927500798,1.2191125970620376,0.702119366480754,3.8791697567159478,1.0654744180766018,3.8212734785946934,0.7349269579757344,0.6896000287749551,0.7053844847462394,0.7401470433581959,3.8212734785946934,0.6472360627217726,2.6998320384459062,0.26355698095126584,1.6451285481452942,1.4249132817441768,0.8477635654536161,2.6998321344836915
6,10.153021200000012,2.487952470779419,1.1492495009532342,9.989933382359422e-05,780,3.6333534460801347,1.0043874923999494,0.0,0.7371489827449506,0.6907255514309957,0.11236922056055985,0.6204769008434736,0.0,0.6504873099235388,2.585747960897592,0.24625766827509954,1.4514887672204237,1.2349614542264205,0.7157290532038763,,,,,,,,,,,,,,,
7,6.120571699999999,2.791393518447876,1.0683542838463416,9.984273879759713e-05,910,3.6199902002628033,1.0000200620064368,0.0,0.7365166494479546,0.6912744485414946,0.10720027945935726,0.5996913946591891,0.0,0.6496632695198059,2.5725076033518866,0.24516507857120953,1.441704208117265,1.2249060057676755,0.7123166996699113,,,,,,,,,,,,,,,
8,6.323070000000001,2.158766746520996,1.0572019884219537,9.977359612865423e-05,1040,3.5897761785067046,0.9969051691202017,0.0,0.7302844707782452,0.6867747776783429,0.10952097294995418,0.6245250206727248,0.0,0.6470613685938028,2.560750688956334,0.24363122525123448,1.4353966093980348,1.218840981905277,0.7084329263522074,,,,,,,,,,,,,,,
9,6.3459048,2.4111177921295166,1.0653181568934367,9.969192322306271e-05,1170,3.5652138324884266,1.0019448917645675,0.0,0.7266333398910669,0.6816873770493728,0.1065404816888846,0.6290204552503732,0.0,0.6463795581689248,2.559308567413917,0.24201356997856727,1.4457726561106168,1.229300440274752,0.7055950962580168,,,,,,,,,,,,,,,
10,6.3660646999999955,2.144679546356201,1.0790801577843152,9.959774064153977e-05,1300,3.579744588411771,0.9839019206854013,0.0,0.7236457233245556,0.6817314118146897,0.10941797460501011,0.598832043317648,0.0,0.6403127257640545,2.541014073445247,0.2397970342865357,1.4502215165358323,1.2334392960254963,0.7013096570968628,3.8468050848353994,1.0631044696677814,3.787563215602528,0.7311206432906064,0.6887418627738953,0.7055699703368273,0.7361325188116594,3.787563215602528,0.6412681544368918,2.679092136296359,0.26001926443793555,1.6439514756202698,1.4238045540722934,0.8416321087967266,2.679092236656057
11,6.005799499999995,2.0477476119995117,1.1306770482888588,9.949107209404665e-05,1430,3.6068258854059074,0.9852742433547974,0.0,0.7270833451014299,0.6872421773580405,0.10987145849145376,0.6371860398696019,0.0,0.6414264880693876,2.5348642587661745,0.2394280331639143,1.4281667296703044,1.2121178906697494,0.7028043925762176,,,,,,,,,,,,,,,
12,5.84367499999999,1.9836385250091553,1.130208469583438,9.937194443381972e-05,1560,3.5538240634478058,0.9957586618570181,0.0,0.7248275834780473,0.6863929111223954,0.10536059685624563,0.6428694765155132,0.0,0.6281034983121432,2.531766919906323,0.23831139527834377,1.4397973619974576,1.2233490925568802,0.6990445639078434,,,,,,,,,,,,,,,
13,5.867560300000008,2.3411879539489746,1.0980827198578762,9.924038765061042e-05,1690,3.571169148958646,0.992763993373284,0.0,0.7278087957547261,0.6870372066131005,0.10737658226146148,0.6094297548899283,0.0,0.6366698379700001,2.547136976168706,0.2405683995439456,1.4359363913536072,1.2194997026370122,0.7026996413102516,,,,,,,,,,,,,,,
14,5.810891199999986,2.3085906505584717,1.1661250648590236,9.909643486313533e-05,1820,3.593105701299814,0.9940975716480842,0.0,0.7329789698123932,0.6947398057350745,0.1085783862723754,0.6237065411531009,0.0,0.6389544748342955,2.54360360457347,0.239517507988673,1.430258503327003,1.2138419009172,0.7037466058364281,,,,,,,,,,,,,,,
