SubjectLabel,SubjectID,DirectionCount,NaturalNeighborObservedHRTFMaxAbsError,BarycentricObservedHRTFMaxAbsError,FSPAEFrequencyMaxAbsError_Hz,RANFGridMaxAbsError_deg,RANFObservedHRIRMaxAbsError,EvaluationDirectionCount,AllFinite
P0257,257,14,1.35178486869568e-15,1.4432899320127e-15,0,0,6.12362627272489e-09,743,1
P0257,257,26,1.79018083652472e-15,1.79018083652472e-15,0,0,6.12362627272489e-09,743,1
P0257,257,50,1.93892115658267e-15,1.93892115658267e-15,0,0,6.41036962401031e-09,743,1
P0274,274,14,1.75651352710657e-15,1.75651352710657e-15,0,0,7.42992689595212e-09,743,1
P0274,274,26,1.75651352710657e-15,1.75651352710657e-15,0,0,7.42992689595212e-09,743,1
P0274,274,50,1.75651352710657e-15,1.79018083652472e-15,0,0,7.42992689595212e-09,743,1
P0277,277,14,1.29592087393701e-15,1.35548410796491e-15,0,0,6.36578084689532e-09,743,1
P0277,277,26,1.29592087393701e-15,1.29592087393701e-15,0,0,6.73583358534735e-09,743,1
P0277,277,50,2.11380166311279e-15,2.09255688609864e-15,0,0,7.34189029016896e-09,743,1
P0278,278,14,1.00074151062168e-15,1.00074151062168e-15,0,0,3.71497256568265e-09,743,1
P0278,278,26,1.00074151062168e-15,1.07209840537625e-15,0,0,4.21117685167616e-09,743,1
P0278,278,50,1.33688555545767e-15,1.33688555545767e-15,0,0,5.28945975908357e-09,743,1
P0294,294,14,2.15923394039938e-15,2.11015403026018e-15,0,0,7.260576667667e-09,743,1
P0294,294,26,2.15923394039938e-15,2.11015403026018e-15,0,0,9.71739566590912e-09,743,1
P0294,294,50,2.15923394039938e-15,2.34793140291918e-15,0,0,1.13574603610722e-08,743,1
P0295,295,14,1.36002320516582e-15,1.36002320516582e-15,0,0,6.59484106213526e-09,743,1
P0295,295,26,1.36002320516582e-15,1.30451205393456e-15,0,0,7.09436095980287e-09,743,1
P0295,295,50,1.7244233337942e-15,1.7244233337942e-15,0,0,7.09436095980287e-09,743,1
P0307,307,14,1.11886302282795e-15,1.14439169963056e-15,0,0,5.58414398055262e-09,743,1
P0307,307,26,1.11886302282795e-15,1.11886302282795e-15,0,0,7.26822294017104e-09,743,1
P0307,307,50,1.45710163361808e-15,1.45710163361808e-15,0,0,7.26822294017104e-09,743,1
P0313,313,14,1.57425749241904e-15,1.51006657275581e-15,0,0,6.77703215767878e-09,743,1
P0313,313,26,1.84965454969556e-15,2.24803028762339e-15,0,0,6.77703215767878e-09,743,1
P0313,313,50,2.00148302124336e-15,2.00013541553595e-15,0,0,7.41758077182908e-09,743,1
P0335,335,14,2.22892998646017e-15,2.22776319964476e-15,0,0,6.49840820043934e-09,743,1
P0335,335,26,2.22892998646017e-15,2.23152066183749e-15,0,0,7.42050473845346e-09,743,1
P0335,335,50,2.58946281965558e-15,2.58946281965558e-15,0,0,7.42050473845346e-09,743,1
P0338,338,14,2.3733857464272e-15,2.50477731282361e-15,0,0,7.43786549017855e-09,743,1
P0338,338,26,2.3733857464272e-15,2.3733857464272e-15,0,0,1.34961384845589e-08,743,1
P0338,338,50,2.59896546744179e-15,2.53656199573535e-15,0,0,1.34961384845589e-08,743,1
P0341,341,14,1.33457858988121e-15,1.38395712711525e-15,0,0,7.34428551307786e-09,743,1
P0341,341,26,1.33457858988121e-15,1.38395712711525e-15,0,0,7.34428551307786e-09,743,1
P0341,341,50,1.88492852952189e-15,1.97669589749481e-15,0,0,7.35539743002001e-09,743,1
P0354,354,14,2.12107811032234e-15,2.21001319882168e-15,0,0,7.41676425830562e-09,743,1
P0354,354,26,2.12107811032234e-15,2.12107811032234e-15,0,0,7.41676425830562e-09,743,1
P0354,354,50,2.49491594653198e-15,2.49491594653198e-15,0,0,1.04952160295824e-08,743,1
P0360,360,14,1.29948273372089e-15,1.29948273372089e-15,0,0,7.43394398816655e-09,743,1
P0360,360,26,1.81241996048015e-15,1.89064168386892e-15,0,0,7.43394398816655e-09,743,1
P0360,360,50,1.81241996048015e-15,1.89471196131175e-15,0,0,7.43394398816655e-09,743,1
P0369,369,14,1.56320821179986e-15,1.56320821179986e-15,0,0,6.794165563484e-09,743,1
P0369,369,26,1.63263193740412e-15,1.60118641699469e-15,0,0,7.41846636898025e-09,743,1
P0369,369,50,2.68527125478709e-15,2.68527125478709e-15,0,0,7.41846636898025e-09,743,1
