EvidenceTier,Split,Endpoint,Unit,Candidate,CandidateLabel,Baseline,BaselineLabel,SubjectCount,MeanDifference,Bootstrap95Lower,Bootstrap95Upper,Wins,Ties,Losses,DifferenceDefinition,BootstrapReplicates,BootstrapSeed
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-1.8693068727385536,-1.9130264154513488,-1.8251177605242306,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-2.6130104174848117,-2.7127116007105774,-2.5132193595494763,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-5.506562172446426,-5.6908931915108365,-5.324864312746326,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-3.0641405461118976,-3.247333888807982,-2.8806975233838084,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-1.0227837814989913,-1.0895059700838419,-0.9531712330648644,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-1.0293555689732885,-1.0719166501712436,-0.9823108977687504,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-2.4957844917680747,-2.6099971730302833,-2.3834782137676753,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-1.1738646987630186,-1.3019287399084531,-1.0502695974694165,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-1.0527645711433762,-1.1280409008977095,-0.9730426765628157,44,0,0,Bounded E25 minus baseline; lower is better,10000,20262830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-1.0027783818572193,-1.0581204782043352,-0.9382735905410905,44,0,0,Bounded E25 minus baseline; lower is better,10000,20262831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-2.1521215468861645,-2.2484997582319073,-2.0572540126474395,44,0,0,Bounded E25 minus baseline; lower is better,10000,20262832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-0.9984830178605157,-1.1337587005431446,-0.8713462599653915,44,0,0,Bounded E25 minus baseline; lower is better,10000,20262833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-0.9454975624817933,-1.012416987645284,-0.8768383747035885,44,0,0,Bounded E25 minus baseline; lower is better,10000,20263830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-0.9455482703669736,-0.9980756572619474,-0.8848443401578342,44,0,0,Bounded E25 minus baseline; lower is better,10000,20263831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-2.017419128013663,-2.1015448206735776,-1.9299255860446667,44,0,0,Bounded E25 minus baseline; lower is better,10000,20263832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-0.9676316261814314,-1.092802878483808,-0.849502878671806,44,0,0,Bounded E25 minus baseline; lower is better,10000,20263833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,MCA,MCA,44,-0.29908918563323,-0.3164393417166993,-0.2815405370136128,44,0,0,Bounded E25 minus baseline; lower is better,10000,20264830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,MCA,MCA,44,-0.5468816775434047,-0.5934281955419237,-0.4979518048151736,44,0,0,Bounded E25 minus baseline; lower is better,10000,20264831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,MCA,MCA,44,-1.2393936225632247,-1.2953141124768397,-1.1832941063645492,44,0,0,Bounded E25 minus baseline; lower is better,10000,20264832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,MCA,MCA,44,-0.26500932804226457,-0.32047857094411,-0.20939978482953217,40,0,4,Bounded E25 minus baseline; lower is better,10000,20264833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,-0.03415908310062177,-0.038918772930323774,-0.029143407245562268,43,0,1,Bounded E25 minus baseline; lower is better,10000,20265830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,-0.07232710795885838,-0.0843149043925343,-0.060845013109587606,43,0,1,Bounded E25 minus baseline; lower is better,10000,20265831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,-0.02827223549463731,-0.04440711355846514,-0.012414741598580813,32,0,12,Bounded E25 minus baseline; lower is better,10000,20265832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,-0.016141803480127476,-0.03355550682661707,0.0009988537045817361,27,0,17,Bounded E25 minus baseline; lower is better,10000,20265833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,-0.3636615811264646,-0.39324024381165706,-0.3358997176838083,44,0,0,Bounded E25 minus baseline; lower is better,10000,20266830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,-0.6312911441892358,-0.6689582345439444,-0.5924333152768854,44,0,0,Bounded E25 minus baseline; lower is better,10000,20266831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,0.40600500182152854,0.3658364222030048,0.4482447047966835,0,0,44,Bounded E25 minus baseline; lower is better,10000,20266832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,-0.0327038128478632,-0.07227467612599593,0.007264186770279099,28,0,16,Bounded E25 minus baseline; lower is better,10000,20266833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,RANF,RANF,44,-0.27796299889893905,-0.29782374697000247,-0.258591248559494,44,0,0,Bounded E25 minus baseline; lower is better,10000,20267830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,RANF,RANF,44,-0.41087261253627894,-0.4656563377380535,-0.3537620372264897,43,0,1,Bounded E25 minus baseline; lower is better,10000,20267831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,RANF,RANF,44,0.04180515785217001,0.0016159673602082363,0.0794110464054951,13,0,31,Bounded E25 minus baseline; lower is better,10000,20267832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,RANF,RANF,44,-0.22516267836639028,-0.27932175205088416,-0.1715887966002409,40,0,4,Bounded E25 minus baseline; lower is better,10000,20267833
Primary validation,val,FullSphereERB,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,-0.007771217295858852,-0.014102456741564422,-0.002082094016425601,28,0,16,Bounded E25 minus baseline; lower is better,10000,20268830
Primary validation,val,Contralateral25ERB,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,0.0020330490963358775,-0.008400984794175123,0.012429647076353677,21,0,23,Bounded E25 minus baseline; lower is better,10000,20268831
Primary validation,val,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,0.007820412000484767,-0.012131288638152741,0.02751781462216178,19,0,25,Bounded E25 minus baseline; lower is better,10000,20268832
Primary validation,val,HorizontalILDMAE,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,-0.06480696269928589,-0.08804546303998471,-0.04318510092554682,37,0,7,Bounded E25 minus baseline; lower is better,10000,20268833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-1.8912251058051197,-1.949940538469052,-1.80510045890082,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-2.633780728044675,-2.7666273829332004,-2.4785202619680122,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-5.590315719556366,-5.827617158093244,-5.304034329418238,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SHOnly,SH only,44,-2.876698913551071,-3.072077722410467,-2.6887597861333887,44,0,0,Bounded E25 minus baseline; lower is better,10000,20260833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-1.0879639719391057,-1.1893343407460129,-1.0020625607518436,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-1.0265412355145354,-1.070076431845023,-0.9846926902270815,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-2.5170459928916404,-2.5950932333495604,-2.438661706506835,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SUpDEqSH,SUpDEq SH,44,-1.3437496698741958,-1.7195040003721809,-1.0895301723198807,44,0,0,Bounded E25 minus baseline; lower is better,10000,20261833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-1.0576334566963592,-1.1352349403658348,-0.9779563757173654,44,0,0,Bounded E25 minus baseline; lower is better,10000,20262830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-1.0389892043932873,-1.0903725657019339,-0.9896457466223471,44,0,0,Bounded E25 minus baseline; lower is better,10000,20262831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-2.118815076296877,-2.2140694031594923,-2.0219768917512537,44,0,0,Bounded E25 minus baseline; lower is better,10000,20262832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SUpDEqNN,SUpDEq NN,44,-0.9625948771972982,-1.1284423001413004,-0.7870834656780434,43,0,1,Bounded E25 minus baseline; lower is better,10000,20262833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-0.9581184562835773,-1.0285065919674405,-0.8864636701211372,44,0,0,Bounded E25 minus baseline; lower is better,10000,20263830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-0.9805765827363221,-1.0269371543366128,-0.9354460900630996,44,0,0,Bounded E25 minus baseline; lower is better,10000,20263831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-1.9990463581523954,-2.082117377625023,-1.9100122200363476,44,0,0,Bounded E25 minus baseline; lower is better,10000,20263832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,SUpDEqBary,SUpDEq Barycentric,44,-0.9406809827333419,-1.1030992206366066,-0.7748077238844676,43,0,1,Bounded E25 minus baseline; lower is better,10000,20263833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,MCA,MCA,44,-0.2880667479618671,-0.3221612201228523,-0.236398383219555,43,0,1,Bounded E25 minus baseline; lower is better,10000,20264830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,MCA,MCA,44,-0.5442374347994844,-0.5974971460721404,-0.4803969667801941,43,0,1,Bounded E25 minus baseline; lower is better,10000,20264831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,MCA,MCA,44,-1.222068510999255,-1.2797149595798352,-1.1514940009031847,44,0,0,Bounded E25 minus baseline; lower is better,10000,20264832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,MCA,MCA,44,-0.15500342052482477,-0.2666468634900076,0.017391054114331703,39,0,5,Bounded E25 minus baseline; lower is better,10000,20264833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,-0.02380560426975865,-0.036210698381220575,-0.0014893008589406162,42,0,2,Bounded E25 minus baseline; lower is better,10000,20265830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,-0.0729715007834736,-0.09054469528903125,-0.059349505165470426,44,0,0,Bounded E25 minus baseline; lower is better,10000,20265831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,-0.03190086300765889,-0.047251333751654856,-0.016867032234572317,34,0,10,Bounded E25 minus baseline; lower is better,10000,20265832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,MCARv351,MCAR v3.5.1,44,0.02967242658013587,-0.02500347839815568,0.11944611046542244,25,0,19,Bounded E25 minus baseline; lower is better,10000,20265833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,-0.3903613837999604,-0.43220586715139536,-0.357662331276184,44,0,0,Bounded E25 minus baseline; lower is better,10000,20266830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,-0.7073545519551449,-0.9084961267620092,-0.5927757522951348,44,0,0,Bounded E25 minus baseline; lower is better,10000,20266831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,0.3122254133537081,0.13424014307072957,0.42255979890966194,1,0,43,Bounded E25 minus baseline; lower is better,10000,20266832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,FSPAE,FSP-AE,44,-0.08428636922574344,-0.27943905109472084,0.031554578924393124,20,0,24,Bounded E25 minus baseline; lower is better,10000,20266833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,RANF,RANF,44,-0.2691041166971563,-0.3065625183057649,-0.21154516464303946,43,0,1,Bounded E25 minus baseline; lower is better,10000,20267830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,RANF,RANF,44,-0.35580480105746043,-0.4087169714005981,-0.29771228454918075,43,0,1,Bounded E25 minus baseline; lower is better,10000,20267831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,RANF,RANF,44,0.006897333322752744,-0.04531210886623263,0.06688506646321286,21,0,23,Bounded E25 minus baseline; lower is better,10000,20267832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,RANF,RANF,44,-0.1010812532029048,-0.2051382341342487,0.04375030058303245,38,0,6,Bounded E25 minus baseline; lower is better,10000,20267833
Primary frozen engineering test,test,FullSphereERB,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,-0.02341257973578401,-0.057272716909142075,-0.0046560304533443345,32,0,12,Bounded E25 minus baseline; lower is better,10000,20268830
Primary frozen engineering test,test,Contralateral25ERB,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,0.0011212000029675192,-0.014069403012944683,0.022005030242243893,29,0,15,Bounded E25 minus baseline; lower is better,10000,20268831
Primary frozen engineering test,test,ContralateralHighFrequency,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,0.021668840938553872,0.00026308956009698966,0.049407266557414314,19,0,25,Bounded E25 minus baseline; lower is better,10000,20268832
Primary frozen engineering test,test,HorizontalILDMAE,dB,BOUNDED,Bounded E25,HYBRID,Hybrid E190,44,-0.10506818686799015,-0.22422542224614347,-0.03678803986004853,33,0,11,Bounded E25 minus baseline; lower is better,10000,20268833
